,cidade,estado,formato,data,hora,dia_semana,dia,mes
85,Coulee Dam,WA,Light,8/22/17,23:00,Terça-feira,22,8
86,Prairie Village,KS,Light,8/22/17,21:45,Terça-feira,22,8
87,South Bend,IN,Changing,8/22/17,21:30,Terça-feira,22,8
88,Sunnyside,WA,Other,8/22/17,20:05,Terça-feira,22,8
89,Corona,CA,Oval,8/22/17,17:30,Terça-feira,22,8
90,Buckeye,AZ,Light,8/22/17,04:00,Terça-feira,22,8
91,Ellicott City,MD,Triangle,8/21/17,23:20,Segunda-feira,21,8
92,New Port Richey,FL,Disk,8/21/17,19:00,Segunda-feira,21,8
93,Fort Myers,FL,Sphere,8/21/17,17:45,Segunda-feira,21,8
94,New Bern,NC,Light,8/21/17,14:52,Segunda-feira,21,8
95,New York City (Bronx),NY,Disk,8/21/17,14:44,Segunda-feira,21,8
96,Catonsville,MD,Disk,8/21/17,14:40,Segunda-feira,21,8
97,Glenwood,NJ,Oval,8/21/17,14:39,Segunda-feira,21,8
98,East Windsor,CT,Circle,8/21/17,14:39,Segunda-feira,21,8
99,Louisville,KY,Diamond,8/21/17,14:20,Segunda-feira,21,8
100,Antioch,TN,Circle,8/21/17,13:30,Segunda-feira,21,8
101,Warren,MI,Changing,8/21/17,13:00,Segunda-feira,21,8
102,Nashville,TN,Other,8/21/17,13:00,Segunda-feira,21,8
103,Colorado Springs,CO,Disk,8/21/17,11:47,Segunda-feira,21,8
104,Caldwell,ID,Triangle,8/21/17,11:27,Segunda-feira,21,8
105,Evansville,IN,Disk,8/21/17,11:15,Segunda-feira,21,8
106,Ely,NV,Circle,8/21/17,05:00,Segunda-feira,21,8
107,Lefayette,TN,Sphere,8/21/17,05:00,Segunda-feira,21,8
108,Ormond Beach,FL,Circle,8/21/17,05:00,Segunda-feira,21,8
109,Delray Beach,FL,Oval,8/21/17,03:35,Segunda-feira,21,8
110,North Myrtle Beach,SC,Light,8/21/17,00:00,Segunda-feira,21,8
111,Mulino,OR,Other,8/21/17,,Segunda-feira,21,8
112,Cleveland,TN,Flash,8/20/17,23:00,Domingo,20,8
113,San Dimas,CA,Light,8/20/17,21:35,Domingo,20,8
114,Winslow,AZ,Changing,8/20/17,12:00,Domingo,20,8
115,Lake Wiley,NC,Fireball,8/19/17,23:00,Sábado,19,8
116,Reading,PA,Formation,8/19/17,23:00,Sábado,19,8
117,Bridgeton,MO,Light,8/19/17,22:40,Sábado,19,8
118,Cape May (headed toward on Parkway South),NJ,Formation,8/19/17,22:00,Sábado,19,8
119,Traverse City,MI,Circle,8/19/17,21:50,Sábado,19,8
120,Sanford,FL,Sphere,8/19/17,21:30,Sábado,19,8
121,Cortez,CO,Light,8/19/17,21:15,Sábado,19,8
122,Beckley,WV,Light,8/19/17,21:00,Sábado,19,8
123,Wrightsville,PA,Disk,8/19/17,20:10,Sábado,19,8
124,Oxford,OH,Flash,8/19/17,19:00,Sábado,19,8
125,Elk Grove,CA,Changing,8/19/17,18:50,Sábado,19,8
126,Warren,MI,Oval,8/19/17,18:00,Sábado,19,8
127,Brainerd,MN,Light,8/19/17,18:00,Sábado,19,8
128,Winter Haven,FL,Formation,8/19/17,10:30,Sábado,19,8
129,Glendale,AZ,Flash,8/18/17,21:40,Sexta-feira,18,8
130,West Palm,FL,Triangle,8/18/17,21:00,Sexta-feira,18,8
131,Staten Island,NY,Oval,8/18/17,18:30,Sexta-feira,18,8
132,Uinta Mountian Range,UT,Cylinder,8/18/17,18:30,Sexta-feira,18,8
133,Conway,AR,Cylinder,8/18/17,11:00,Sexta-feira,18,8
134,Mesa,AZ,Other,8/18/17,09:45,Sexta-feira,18,8
135,West Columbia,SC,Fireball,8/17/17,21:30,Quinta-Feira,17,8
136,Henrico,VA,Light,8/17/17,21:10,Quinta-Feira,17,8
137,Smithfield,RI,Light,8/17/17,21:02,Quinta-Feira,17,8
138,New Port Richey,FL,Rectangle,8/17/17,21:00,Quinta-Feira,17,8
139,Aurora,CO,Disk,8/17/17,21:00,Quinta-Feira,17,8
140,Turlock,CA,Light,8/17/17,21:00,Quinta-Feira,17,8
141,Grand Isle,ME,Sphere,8/17/17,03:17,Quinta-Feira,17,8
142,Cedar Park,TX,Light,8/17/17,01:00,Quinta-Feira,17,8
143,Lake Elsinore,CA,Light,8/17/17,01:00,Quinta-Feira,17,8
144,Bethesda,MD,Fireball,8/17/17,01:00,Quinta-Feira,17,8
145,Moraine,OK,Light,8/16/17,23:30,Quarta-feira,16,8
146,Bayshore,NY,Light,8/16/17,23:07,Quarta-feira,16,8
147,Becket,MA,Oval,8/16/17,22:20,Quarta-feira,16,8
148,Warwick,RI,Other,8/16/17,22:00,Quarta-feira,16,8
149,Johnstown,CO,Light,8/16/17,21:05,Quarta-feira,16,8
150,Hampton Beach,NH,Other,8/16/17,21:00,Quarta-feira,16,8
151,Loudon,NH,Triangle,8/16/17,20:30,Quarta-feira,16,8
152,Loudon,NH,Triangle,8/16/17,20:30,Quarta-feira,16,8
153,El Centro,CA,Light,8/16/17,20:28,Quarta-feira,16,8
154,Perkasie,PA,Circle,8/16/17,20:00,Quarta-feira,16,8
155,Vernon,AL,Changing,8/16/17,16:00,Quarta-feira,16,8
156,Coventry,RI,Other,8/16/17,10:00,Quarta-feira,16,8
157,Garden City,KS,Light,8/16/17,03:00,Quarta-feira,16,8
158,Montrose,IL,Light,8/15/17,23:00,Terça-feira,15,8
159,Cape Coral,FL,Fireball,8/15/17,22:33,Terça-feira,15,8
160,Henderson,NV,Flash,8/15/17,21:40,Terça-feira,15,8
161,Yountville,CA,Light,8/15/17,21:30,Terça-feira,15,8
162,Jensen Beach,FL,Circle,8/15/17,21:30,Terça-feira,15,8
163,Tobyhanna,PA,Light,8/15/17,20:40,Terça-feira,15,8
164,Cold Springs (Bugtussel),AL,Triangle,8/15/17,17:00,Terça-feira,15,8
165,Seattle,WA,Changing,8/15/17,11:00,Terça-feira,15,8
166,Oakwood Hills,IL,Light,8/15/17,03:15,Terça-feira,15,8
167,Georgetown,TX,Flash,8/15/17,00:30,Terça-feira,15,8
168,Las Vegas,NV,Other,8/15/17,,Terça-feira,15,8
169,Dallas,OR,Fireball,8/14/17,23:00,Segunda-feira,14,8
170,Austin,TX,Triangle,8/14/17,22:00,Segunda-feira,14,8
171,Stagecoach,NV,Circle,8/14/17,21:30,Segunda-feira,14,8
172,Salem,MA,Light,8/14/17,21:30,Segunda-feira,14,8
173,Albany,OR,Circle,8/14/17,21:20,Segunda-feira,14,8
174,Aurora,CO,Other,8/14/17,21:00,Segunda-feira,14,8
175,Visalia,CA,Light,8/14/17,20:42,Segunda-feira,14,8
176,Baldwin,ME,Light,8/14/17,20:30,Segunda-feira,14,8
177,Selbyville,DE,Rectangle,8/14/17,17:20,Segunda-feira,14,8
178,Missoula,MT,Oval,8/14/17,17:00,Segunda-feira,14,8
179,Las Vegas,NV,Rectangle,8/14/17,14:00,Segunda-feira,14,8
180,Milford,CT,Circle,8/14/17,08:45,Segunda-feira,14,8
181,Phoenix,AZ,Light,8/14/17,00:20,Segunda-feira,14,8
182,Georgetown,CA,Light,8/13/17,22:01,Domingo,13,8
183,Grass Valley,CA,Flash,8/13/17,22:00,Domingo,13,8
184,Sunland,CA,Light,8/13/17,21:32,Domingo,13,8
185,Antioch,CA,Oval,8/13/17,21:00,Domingo,13,8
186,Columbia,SC,Circle,8/13/17,20:30,Domingo,13,8
187,Placerville,CA,Changing,8/13/17,19:00,Domingo,13,8
188,Patchogue,NY,Circle,8/13/17,18:00,Domingo,13,8
189,Burlington,CT,Disk,8/13/17,16:05,Domingo,13,8
190,Palisade,CO,Circle,8/13/17,11:00,Domingo,13,8
191,St. Petersburg,FL,Sphere,8/13/17,10:00,Domingo,13,8
192,Des Moines,IA,Light,8/13/17,05:00,Domingo,13,8
193,Kenmore,NY,Triangle,8/13/17,03:30,Domingo,13,8
194,Rosston,IN,Other,8/13/17,00:30,Domingo,13,8
195,Cincinnati,OH,Sphere,8/13/17,00:00,Domingo,13,8
196,Short Gap,CT,Light,8/12/17,22:45,Sábado,12,8
197,Mount Pleasant,OH,Flash,8/12/17,22:30,Sábado,12,8
198,Mount Pleasant,OH,Flash,8/12/17,22:30,Sábado,12,8
199,Pine Grove,CO,Light,8/12/17,22:10,Sábado,12,8
200,Cincinnati,OH,Flash,8/12/17,22:00,Sábado,12,8
201,Clarksville,TN,Flash,8/12/17,22:00,Sábado,12,8
202,Clarksville,TN,Flash,8/12/17,22:00,Sábado,12,8
203,Muskegon,MI,Triangle,8/12/17,22:00,Sábado,12,8
204,Norfolk,VA,Light,8/12/17,21:45,Sábado,12,8
205,Montville,NJ,Oval,8/12/17,21:40,Sábado,12,8
206,Cottontown,TN,Flash,8/12/17,21:40,Sábado,12,8
207,Blairsville,PA,Circle,8/12/17,21:38,Sábado,12,8
208,Mayfield Hts,OH,Changing,8/12/17,21:00,Sábado,12,8
209,Daytona Beach,FL,Cylinder,8/12/17,19:00,Sábado,12,8
210,Richmond,UT,Circle,8/12/17,19:00,Sábado,12,8
211,Old Hickory,TN,Light,8/12/17,17:00,Sábado,12,8
212,Hiawassee,GA,Oval,8/12/17,11:58,Sábado,12,8
213,Oakboro,NC,Triangle,8/12/17,11:03,Sábado,12,8
214,Austin,TX,Light,8/12/17,03:30,Sábado,12,8
215,Davenport,FL,Light,8/12/17,03:00,Sábado,12,8
216,Grass Valley,CA,Flash,8/12/17,02:00,Sábado,12,8
217,Brookline,NH,Sphere,8/12/17,00:00,Sábado,12,8
218,Fort Mill,SC,Circle,8/11/17,22:57,Sexta-feira,11,8
219,Deer Park,WA,Disk,8/11/17,22:30,Sexta-feira,11,8
220,Benton Hot Springs,CA,Diamond,8/11/17,22:30,Sexta-feira,11,8
221,Cleveland (east side of),OH,Fireball,8/11/17,22:00,Sexta-feira,11,8
222,North Las Vegas,NV,Disk,8/11/17,16:00,Sexta-feira,11,8
223,Augusta,ME,Triangle,8/11/17,15:30,Sexta-feira,11,8
224,St. George,UT,Light,8/11/17,02:00,Sexta-feira,11,8
225,New York,NY,Fireball,8/11/17,00:10,Sexta-feira,11,8
226,St. George,UT,Light,8/10/17,22:45,Quinta-Feira,10,8
227,La Rue,OH,Flash,8/10/17,22:30,Quinta-Feira,10,8
228,Narraganssett,RI,Formation,8/10/17,22:30,Quinta-Feira,10,8
229,Essie,KY,Light,8/10/17,22:30,Quinta-Feira,10,8
230,Louisville,KY,Light,8/10/17,22:00,Quinta-Feira,10,8
231,Litchfield,MN,Light,8/10/17,20:47,Quinta-Feira,10,8
232,Onset,MA,Oval,8/10/17,20:35,Quinta-Feira,10,8
233,Scottsdale,AZ,Disk,8/10/17,14:30,Quinta-Feira,10,8
234,Sherman Oaks,CA,Flash,8/9/17,23:45,Quarta-feira,9,8
235,Los Angeles,CA,Changing,8/9/17,22:30,Quarta-feira,9,8
236,Cumming,GA,Light,8/9/17,22:30,Quarta-feira,9,8
237,Mitchell,NE,Flash,8/9/17,22:00,Quarta-feira,9,8
238,Davis,CA,Light,8/9/17,21:30,Quarta-feira,9,8
239,Corona,CA,Changing,8/9/17,21:25,Quarta-feira,9,8
240,Grand Junction,CO,Light,8/9/17,21:03,Quarta-feira,9,8
241,Rabbit Ears Pass/Steamboat springs,CO,Triangle,8/9/17,13:15,Quarta-feira,9,8
242,Chino,CA,Circle,8/9/17,03:15,Quarta-feira,9,8
243,St. Petersburg,FL,Changing,8/9/17,00:20,Quarta-feira,9,8
244,Marlborough,CT,Flash,8/9/17,00:00,Quarta-feira,9,8
