,cidade,estado,formato,data,hora,dia_semana,dia,mes
3550,Everett,WA,Light,10/19/16,07:35,Quarta-feira,19,10
3551,Ortonville,MI,Triangle,10/19/16,06:16,Quarta-feira,19,10
3552,Nashville,TN,Triangle,10/19/16,01:30,Quarta-feira,19,10
3553,Yakima,WA,Light,10/19/16,01:06,Quarta-feira,19,10
3554,Wenatchee,WA,Formation,10/18/16,23:16,Terça-feira,18,10
3555,Tucson,AZ,Light,10/18/16,23:00,Terça-feira,18,10
3556,North Dartmouth,MA,Sphere,10/18/16,21:20,Terça-feira,18,10
3557,Mountain Top,PA,Sphere,10/18/16,21:01,Terça-feira,18,10
3558,Marion,IA,Circle,10/18/16,21:00,Terça-feira,18,10
3559,Waynesboro,VA,Sphere,10/18/16,19:30,Terça-feira,18,10
3560,Roseville,CA,Light,10/18/16,19:00,Terça-feira,18,10
3561,Franklin,TN,Light,10/18/16,19:00,Terça-feira,18,10
3562,Colorado Springs,CO,Circle,10/18/16,19:00,Terça-feira,18,10
3563,Tornado,WV,Cigar,10/18/16,19:00,Terça-feira,18,10
3564,Oregon,IL,Light,10/18/16,18:15,Terça-feira,18,10
3565,Greenfield,WI,Disk,10/18/16,14:20,Terça-feira,18,10
3566,Edison,NJ,Oval,10/18/16,12:20,Terça-feira,18,10
3567,Tulsa,OK,Triangle,10/18/16,05:35,Terça-feira,18,10
3568,South Hadley,MA,Light,10/18/16,01:00,Terça-feira,18,10
3569,Fort Washington,MD,Other,10/18/16,00:18,Terça-feira,18,10
3570,Augusta,GA,Circle,10/18/16,00:00,Terça-feira,18,10
3571,Jacksonville,AR,Light,10/17/16,22:00,Segunda-feira,17,10
3572,Baltimore,MD,Light,10/17/16,21:30,Segunda-feira,17,10
3573,Melbourne,FL,Light,10/17/16,20:49,Segunda-feira,17,10
3574,Orem,UT,Light,10/17/16,20:37,Segunda-feira,17,10
3575,Lakewood,CO,Triangle,10/17/16,19:50,Segunda-feira,17,10
3576,Virginia Beach,VA,Fireball,10/17/16,19:50,Segunda-feira,17,10
3577,Chicago,IL,Light,10/17/16,19:45,Segunda-feira,17,10
3578,Winston-Salem,NC,Other,10/17/16,19:30,Segunda-feira,17,10
3579,Bybee,TN,Triangle,10/17/16,19:30,Segunda-feira,17,10
3580,Madison,IL,Circle,10/17/16,19:21,Segunda-feira,17,10
3581,South Orange,NJ,Sphere,10/17/16,19:00,Segunda-feira,17,10
3582,Taylorville,IL,Circle,10/17/16,19:00,Segunda-feira,17,10
3583,Loganville,GA,Diamond,10/17/16,10:35,Segunda-feira,17,10
3584,Key Biscayne,FL,Sphere,10/17/16,07:30,Segunda-feira,17,10
3585,La Habra,CA,Changing,10/17/16,07:00,Segunda-feira,17,10
3586,Clearwater,FL,Circle,10/17/16,05:45,Segunda-feira,17,10
3587,Colorado Springs,CO,Triangle,10/17/16,01:36,Segunda-feira,17,10
3588,Coolidge,GA,Other,10/17/16,,Segunda-feira,17,10
3589,Mansfield,TX,Light,10/16/16,21:31,Domingo,16,10
3590,Dallas,TX,Circle,10/16/16,21:00,Domingo,16,10
3591,Golden Valley,AZ,Circle,10/16/16,19:50,Domingo,16,10
3592,South Kingstown,RI,Light,10/16/16,19:35,Domingo,16,10
3593,Lexington,SC,Fireball,10/16/16,19:00,Domingo,16,10
3594,Johnson City,TN,Triangle,10/16/16,18:30,Domingo,16,10
3595,Banner Springs,KS,Triangle,10/16/16,13:30,Domingo,16,10
3596,Tucson,AZ,Rectangle,10/16/16,12:45,Domingo,16,10
3597,South Tampa,FL,Light,10/16/16,05:40,Domingo,16,10
3598,Encinitas,CA,Circle,10/16/16,02:16,Domingo,16,10
3599,Philadelphia,PA,Sphere,10/15/16,23:15,Sábado,15,10
3600,Nashua,NH,Formation,10/15/16,23:00,Sábado,15,10
3601,St. Paul,MN,Circle,10/15/16,22:30,Sábado,15,10
3602,Florissant,MO,Fireball,10/15/16,22:00,Sábado,15,10
3603,Yuma,AZ,Circle,10/15/16,22:00,Sábado,15,10
3604,Madison,OH,Light,10/15/16,20:20,Sábado,15,10
3605,Anacoco,LA,Fireball,10/15/16,20:15,Sábado,15,10
3606,Nashua,NH,Circle,10/15/16,19:40,Sábado,15,10
3607,Aliquippa,PA,Light,10/15/16,19:30,Sábado,15,10
3608,North Canton,OH,Light,10/15/16,19:00,Sábado,15,10
3609,Greenfield,IN,Triangle,10/15/16,19:00,Sábado,15,10
3610,Idaho Falls,ID,Triangle,10/15/16,18:00,Sábado,15,10
3611,Houston,TX,Diamond,10/15/16,17:00,Sábado,15,10
3612,Upland,CA,Light,10/15/16,13:45,Sábado,15,10
3613,Valle Vista,CA,Disk,10/15/16,13:30,Sábado,15,10
3614,Orem,UT,Triangle,10/15/16,12:00,Sábado,15,10
3615,Detroit,MI,Sphere,10/15/16,12:00,Sábado,15,10
3616,Twin Falls,ID,Flash,10/15/16,11:00,Sábado,15,10
3617,Aiken,SC,Sphere,10/15/16,02:30,Sábado,15,10
3618,Clarkdale community (Meridian),MS,Circle,10/15/16,02:00,Sábado,15,10
3619,Waterbury,CT,Triangle,10/15/16,,Sábado,15,10
3620,Centerburg,OH,Triangle,10/14/16,23:45,Sexta-feira,14,10
3621,St. Peters,MO,Other,10/14/16,22:00,Sexta-feira,14,10
3622,Houston,TX,Sphere,10/14/16,19:44,Sexta-feira,14,10
3623,Lithia,FL,Circle,10/14/16,18:00,Sexta-feira,14,10
3624,Bend,OR,Circle,10/14/16,17:48,Sexta-feira,14,10
3625,Albion,IN,Oval,10/14/16,17:00,Sexta-feira,14,10
3626,New York City (Brooklyn),NY,Diamond,10/14/16,11:00,Sexta-feira,14,10
3627,New York City,NY,Light,10/14/16,10:40,Sexta-feira,14,10
3628,Charlotte,NC,Circle,10/14/16,03:00,Sexta-feira,14,10
3629,Parker,AZ,Sphere,10/13/16,22:00,Quinta-Feira,13,10
3630,Gilford,NH,Light,10/13/16,21:30,Quinta-Feira,13,10
3631,Hiwassee,VA,Triangle,10/13/16,21:30,Quinta-Feira,13,10
3632,Newfoundland,PA,Light,10/13/16,21:00,Quinta-Feira,13,10
3633,San Antonio,TX,Diamond,10/13/16,20:36,Quinta-Feira,13,10
3634,Socorro,NM,Light,10/13/16,20:30,Quinta-Feira,13,10
3635,Bowdoinham,ME,Diamond,10/13/16,19:00,Quinta-Feira,13,10
3636,Ocean Springs,MS,Light,10/13/16,19:00,Quinta-Feira,13,10
3637,Spearhead Point Campground,WI,Sphere,10/13/16,19:00,Quinta-Feira,13,10
3638,Butte,MT,Changing,10/13/16,18:13,Quinta-Feira,13,10
3639,Houston,TX,Diamond,10/13/16,17:00,Quinta-Feira,13,10
3640,Gulfport,MS,Other,10/13/16,09:45,Quinta-Feira,13,10
3641,Riverton,UT,Light,10/13/16,07:30,Quinta-Feira,13,10
3642,Douglasville,GA,Circle,10/12/16,20:35,Quarta-feira,12,10
3643,Gatlinburg,TN,Triangle,10/12/16,11:49,Quarta-feira,12,10
3644,Middletown,CT,Triangle,10/12/16,11:45,Quarta-feira,12,10
3645,Columbia,SC,Light,10/12/16,07:25,Quarta-feira,12,10
3646,Odenville,AL,Light,10/12/16,06:50,Quarta-feira,12,10
3647,Gulf of Mexico SMI 69 B,LA,Oval,10/12/16,06:00,Quarta-feira,12,10
3648,Hayti,MO,Disk,10/11/16,23:10,Terça-feira,11,10
3649,Prospect,KY,Rectangle,10/11/16,23:00,Terça-feira,11,10
3650,Mountainair,NM,Formation,10/11/16,22:15,Terça-feira,11,10
3651,Lake of the Ozarks,MO,Fireball,10/11/16,22:00,Terça-feira,11,10
3652,Gates,NC,Triangle,10/11/16,21:07,Terça-feira,11,10
3653,Dallas,GA,Fireball,10/11/16,21:00,Terça-feira,11,10
3654,San Diego,CA,Light,10/11/16,19:25,Terça-feira,11,10
3655,San Diego,CA,Light,10/11/16,19:25,Terça-feira,11,10
3656,Lido Beach,NY,Circle,10/11/16,16:34,Terça-feira,11,10
3657,Ocean Shores,WA,Circle,10/11/16,13:35,Terça-feira,11,10
3658,Oklahoma City,OK,Circle,10/11/16,12:21,Terça-feira,11,10
3659,University Place,WA,Changing,10/11/16,10:10,Terça-feira,11,10
3660,Vestal,NY,Diamond,10/11/16,04:00,Terça-feira,11,10
3661,Cromwell,CT,Light,10/11/16,02:30,Terça-feira,11,10
3662,Astoria,OR,Circle,10/10/16,20:00,Segunda-feira,10,10
3663,Elizabethtown,PA,Fireball,10/10/16,19:17,Segunda-feira,10,10
3664,Elizabethtown,PA,Fireball,10/10/16,19:17,Segunda-feira,10,10
3665,Greensboro,NC,Fireball,10/10/16,19:00,Segunda-feira,10,10
3666,Yosemite National Park,CA,Disk,10/10/16,19:00,Segunda-feira,10,10
3667,Vicksburg,MI,Sphere,10/10/16,15:35,Segunda-feira,10,10
3668,Columbia,MD,Disk,10/10/16,13:56,Segunda-feira,10,10
3669,Kerrville,TX,Triangle,10/10/16,05:00,Segunda-feira,10,10
3670,Lovell,WY,Triangle,10/10/16,01:20,Segunda-feira,10,10
3671,Harrison City,PA,Formation,10/9/16,23:20,Domingo,9,10
3672,Goleta,CA,Triangle,10/9/16,19:35,Domingo,9,10
3673,Aurora,IL,Light,10/9/16,18:20,Domingo,9,10
3674,New York City (Brooklyn),NY,Sphere,10/9/16,18:00,Domingo,9,10
3675,Madison Heights,MI,Circle,10/9/16,16:30,Domingo,9,10
3676,Marietta,GA,Cigar,10/9/16,10:30,Domingo,9,10
3677,Cape Coral,FL,Circle,10/9/16,09:00,Domingo,9,10
3678,Orlando,FL,Other,10/9/16,04:00,Domingo,9,10
3679,Fort Lauderdale,FL,Other,10/9/16,03:30,Domingo,9,10
3680,McKinney,TX,Light,10/9/16,01:05,Domingo,9,10
3681,Burbank,CA,Fireball,10/8/16,23:30,Sábado,8,10
3682,Illiopolis,IL,Triangle,10/8/16,23:20,Sábado,8,10
3683,Hamilton,OH,Rectangle,10/8/16,23:00,Sábado,8,10
3684,Owenton,KY,Light,10/8/16,22:30,Sábado,8,10
3685,Birmingham,AL,Triangle,10/8/16,22:00,Sábado,8,10
3686,Harrison,AR,Circle,10/8/16,21:30,Sábado,8,10
3687,Polk,OH,Sphere,10/8/16,21:30,Sábado,8,10
3688,Marietta,OH,Light,10/8/16,20:56,Sábado,8,10
3689,Marietta,OH,Changing,10/8/16,20:45,Sábado,8,10
3690,Murfreesboro,TN,Changing,10/8/16,20:15,Sábado,8,10
3691,Bellevue,NE,Oval,10/8/16,20:10,Sábado,8,10
3692,Cincinnati,OH,Light,10/8/16,20:00,Sábado,8,10
3693,Chicago,IL,Oval,10/8/16,19:47,Sábado,8,10
3694,Middlefield,CT,Light,10/8/16,18:45,Sábado,8,10
3695,Prescott,AZ,Other,10/8/16,18:13,Sábado,8,10
3696,Darby,MT,Disk,10/8/16,17:24,Sábado,8,10
3697,Slidell,LA,Rectangle,10/8/16,12:54,Sábado,8,10
3698,Champaign,IL,Rectangle,10/8/16,11:15,Sábado,8,10
3699,Crandall,GA,Light,10/8/16,03:00,Sábado,8,10
3700,Van Buren,AR,Circle,10/8/16,02:15,Sábado,8,10
3701,Renton,WA,Fireball,10/8/16,01:00,Sábado,8,10
3702,Cochise County,AZ,Flash,10/8/16,00:00,Sábado,8,10
3703,Crown Point,IN,Disk,10/8/16,,Sábado,8,10
3704,Anchor Point,AK,Flash,10/7/16,22:00,Sexta-feira,7,10
3705,Gardner,MA,Light,10/7/16,21:45,Sexta-feira,7,10
3706,South Gardner,MA,Fireball,10/7/16,21:30,Sexta-feira,7,10
3707,New Ipswich,NH,Oval,10/7/16,21:15,Sexta-feira,7,10
3708,Arvada,CO,Other,10/7/16,21:05,Sexta-feira,7,10
3709,Secaucus,NJ,Light,10/7/16,21:00,Sexta-feira,7,10
3710,Bucks Lake,CA,Formation,10/7/16,20:45,Sexta-feira,7,10
3711,Manchester,VT,Triangle,10/7/16,19:30,Sexta-feira,7,10
3712,Hicksville,NY,Light,10/7/16,17:30,Sexta-feira,7,10
3713,Eureka,CA,Disk,10/7/16,13:40,Sexta-feira,7,10
3714,Douglasville,GA,Cylinder,10/7/16,13:00,Sexta-feira,7,10
3715,Meadville,PA,Circle,10/7/16,07:00,Sexta-feira,7,10
3716,Long Beach,CA,Light,10/7/16,03:30,Sexta-feira,7,10
3717,Kettering,OH,Light,10/7/16,01:00,Sexta-feira,7,10
3718,Las Cruces,NM,Other,10/7/16,00:05,Sexta-feira,7,10
3719,Columbus,OH,Triangle,10/6/16,00:00,Quinta-Feira,6,10
3720,Antlers,OK,Light,10/6/16,23:00,Quinta-Feira,6,10
3721,Union,NJ,Oval,10/6/16,21:50,Quinta-Feira,6,10
3722,Whitefish,MT,Fireball,10/6/16,21:00,Quinta-Feira,6,10
3723,Saylorsburg,PA,Fireball,10/6/16,20:00,Quinta-Feira,6,10
3724,Lower Burrell,PA,Triangle,10/6/16,20:00,Quinta-Feira,6,10
3725,Columbus,GA,Circle,10/6/16,14:30,Quinta-Feira,6,10
3726,South Berwick,ME,Light,10/6/16,09:15,Quinta-Feira,6,10
3727,Torrington,CT,Triangle,10/6/16,05:45,Quinta-Feira,6,10
3728,Grandview,WA,Circle,10/6/16,04:00,Quinta-Feira,6,10
3729,Slate Hill,NY,Sphere,10/6/16,,Quinta-Feira,6,10
3730,Poland,ME,Sphere,10/5/16,00:00,Quarta-feira,5,10
3731,Lake Elmo-Oakdale,MN,Circle,10/5/16,22:35,Quarta-feira,5,10
3732,Howell,NJ,Cigar,10/5/16,22:30,Quarta-feira,5,10
3733,Ticonderoga,NY,Rectangle,10/5/16,22:20,Quarta-feira,5,10
3734,Port Richey,FL,Disk,10/5/16,21:25,Quarta-feira,5,10
3735,Florence,AL,Diamond,10/5/16,20:00,Quarta-feira,5,10
3736,Orem,UT,Circle,10/5/16,19:50,Quarta-feira,5,10
3737,Greenfield,OH,Cigar,10/5/16,10:00,Quarta-feira,5,10
3738,Williamsport,PA,Flash,10/4/16,23:15,Terça-feira,4,10
3739,Fort Washington,MD,Fireball,10/4/16,22:46,Terça-feira,4,10
3740,Boonsboro,MD,Fireball,10/4/16,22:37,Terça-feira,4,10
3741,Hilton,NY,Circle,10/4/16,22:35,Terça-feira,4,10
3742,Hanover,MI,Fireball,10/4/16,22:16,Terça-feira,4,10
3743,Wappingers Falls,NY,Light,10/4/16,21:26,Terça-feira,4,10
3744,Frederica,DE,Disk,10/4/16,20:00,Terça-feira,4,10
3745,Brentwood,NH,Circle,10/4/16,19:30,Terça-feira,4,10
3746,Branson,MO,Light,10/4/16,04:00,Terça-feira,4,10
3747,Carrboro,NC,Sphere,10/4/16,00:25,Terça-feira,4,10
3748,North Vernon,IN,Other,10/3/16,20:30,Segunda-feira,3,10
3749,Laurel,DE,Formation,10/3/16,20:00,Segunda-feira,3,10
3750,Ellsworth,ME,Triangle,10/3/16,18:00,Segunda-feira,3,10
3751,Ellsworth,ME,Sphere,10/3/16,18:00,Segunda-feira,3,10
3752,Saginaw,MN,Rectangle,10/3/16,17:00,Segunda-feira,3,10
3753,Coshocton,OH,Other,10/3/16,14:25,Segunda-feira,3,10
3754,Millington,TN,Disk,10/3/16,07:25,Segunda-feira,3,10
3755,Belchertown,MA,Fireball,10/3/16,05:00,Segunda-feira,3,10
3756,Adairsville,GA,Circle,10/3/16,04:00,Segunda-feira,3,10
3757,Boulder,CO,Triangle,10/3/16,03:15,Segunda-feira,3,10
3758,Long Beach,CA,Light,10/3/16,03:00,Segunda-feira,3,10
3759,Sioux Falls,SD,Disk,10/2/16,22:00,Domingo,2,10
3760,Des Moines,IA,Light,10/2/16,21:00,Domingo,2,10
3761,Murphy,TX,Rectangle,10/2/16,20:45,Domingo,2,10
3762,New York City (Queens),NY,Oval,10/2/16,20:00,Domingo,2,10
3763,"Washington, D.C.",DC,Other,10/2/16,11:00,Domingo,2,10
3764,Houston,TX,Circle,10/2/16,04:30,Domingo,2,10
3765,Woodruff,SC,Light,10/2/16,02:00,Domingo,2,10
3766,Lynnwood,WA,Other,10/2/16,01:11,Domingo,2,10
3767,Iowa City,IA,Light,10/2/16,00:45,Domingo,2,10
3768,Mena,AR,Other,10/2/16,00:30,Domingo,2,10
3769,Waverly,TN,Oval,10/2/16,00:14,Domingo,2,10
3770,Long Island,NY,Fireball,10/1/16,22:15,Sábado,1,10
3771,Bend,OR,Light,10/1/16,22:00,Sábado,1,10
3772,Kenner,LA,Circle,10/1/16,22:00,Sábado,1,10
3773,Whiting,IN,Circle,10/1/16,22:00,Sábado,1,10
3774,Central,LA,Fireball,10/1/16,22:00,Sábado,1,10
3775,Irvine,CA,Fireball,10/1/16,21:45,Sábado,1,10
3776,Monetta,SC,Other,10/1/16,21:30,Sábado,1,10
3777,Yukon,OK,Flash,10/1/16,21:00,Sábado,1,10
3778,Chula Vista,CA,Triangle,10/1/16,20:43,Sábado,1,10
3779,Plano,TX,Light,10/1/16,20:41,Sábado,1,10
3780,Millsap,TX,Disk,10/1/16,20:35,Sábado,1,10
3781,Candor,NC,Cylinder,10/1/16,20:30,Sábado,1,10
3782,Havre de Grace,MD,Circle,10/1/16,20:10,Sábado,1,10
3783,High Ridge,MO,Oval,10/1/16,20:00,Sábado,1,10
3784,Graham,WA,Light,10/1/16,20:00,Sábado,1,10
3785,Denver,CO,Formation,10/1/16,19:45,Sábado,1,10
3786,Grand Blanc,MI,Light,10/1/16,19:45,Sábado,1,10
3787,Glenrock,WY,Disk,10/1/16,19:30,Sábado,1,10
3788,Phoenix,AZ,Other,10/1/16,19:30,Sábado,1,10
3789,Tampa,FL,Light,10/1/16,19:30,Sábado,1,10
3790,Boulder,CO,Triangle,10/1/16,19:00,Sábado,1,10
3791,Sullivan,IL,Fireball,10/1/16,19:00,Sábado,1,10
3792,Fernley,NV,Cylinder,10/1/16,18:15,Sábado,1,10
3793,West Park,PA,Triangle,10/1/16,16:20,Sábado,1,10
3794,Tallahassee,FL,Circle,10/1/16,15:30,Sábado,1,10
3795,Orlando,FL,Triangle,10/1/16,14:50,Sábado,1,10
3796,Geneva,NY,Flash,10/1/16,09:15,Sábado,1,10
3797,Lemitar,NM,Fireball,10/1/16,08:33,Sábado,1,10
3798,Blue Ridge,GA,Other,10/1/16,08:00,Sábado,1,10
3799,Recluse,WY,Light,10/1/16,06:00,Sábado,1,10
3800,Ferndale,WA,Light,10/1/16,05:30,Sábado,1,10
3801,Kenner,LA,Circle,10/1/16,05:30,Sábado,1,10
3802,St. Augustine,FL,Light,10/1/16,03:30,Sábado,1,10
3803,Minneapolis,MN,Changing,10/1/16,02:00,Sábado,1,10
3804,St. Augustine,FL,Disk,10/1/16,00:00,Sábado,1,10
3805,Naples,FL,Changing,9/30/16,23:22,Sexta-feira,30,9
3806,Honolulu,HI,Rectangle,9/30/16,21:34,Sexta-feira,30,9
3807,Mooresville,NC,Sphere,9/30/16,21:00,Sexta-feira,30,9
3808,Arvada,CO,Formation,9/30/16,20:30,Sexta-feira,30,9
3809,Pittsfield,ME,Light,9/30/16,20:00,Sexta-feira,30,9
3810,Eastvale,CA,Light,9/30/16,19:10,Sexta-feira,30,9
3811,Cape Coral,FL,Other,9/30/16,19:00,Sexta-feira,30,9
3812,Las Vegas,NV,Oval,9/30/16,15:30,Sexta-feira,30,9
3813,Weiser,ID,Light,9/30/16,07:10,Sexta-feira,30,9
3814,Sanborn,NY,Oval,9/29/16,23:30,Quinta-Feira,29,9
3815,Logan,KS,Light,9/29/16,22:00,Quinta-Feira,29,9
3816,North Sioux City,SD,Light,9/29/16,21:00,Quinta-Feira,29,9
3817,Fresno,CA,Light,9/29/16,20:00,Quinta-Feira,29,9
3818,Marietta,GA,Cylinder,9/29/16,19:16,Quinta-Feira,29,9
3819,Marietta,GA,Changing,9/29/16,19:15,Quinta-Feira,29,9
3820,Idyllwild,CA,Circle,9/29/16,11:45,Quinta-Feira,29,9
3821,Canby,OR,Rectangle,9/29/16,09:00,Quinta-Feira,29,9
3822,Tampa,FL,Flash,9/29/16,02:30,Quinta-Feira,29,9
3823,Lake Charles,LA,Oval,9/29/16,00:00,Quinta-Feira,29,9
3824,Overland Park,KS,Fireball,9/28/16,23:00,Quarta-feira,28,9
3825,Boulder,CO,Triangle,9/28/16,22:00,Quarta-feira,28,9
3826,Delano,CA,Other,9/28/16,21:02,Quarta-feira,28,9
3827,Rexburg,ID,Triangle,9/28/16,21:00,Quarta-feira,28,9
3828,Louisville,KY,Sphere,9/28/16,20:44,Quarta-feira,28,9
3829,Aurora,CO,Light,9/28/16,20:16,Quarta-feira,28,9
3830,Aurora,CO,Circle,9/28/16,20:16,Quarta-feira,28,9
3831,Beaverton,OR,Disk,9/28/16,19:50,Quarta-feira,28,9
3832,Littleton,CO,Diamond,9/28/16,14:30,Quarta-feira,28,9
3833,Dell Rapids,SD,Flash,9/28/16,13:59,Quarta-feira,28,9
3834,Grand Rapids,MI,Sphere,9/28/16,03:00,Quarta-feira,28,9
3835,Penfield,NY,Rectangle,9/27/16,22:00,Terça-feira,27,9
3836,Warner Robins,GA,Light,9/27/16,22:00,Terça-feira,27,9
3837,Keizer,OR,Formation,9/27/16,21:30,Terça-feira,27,9
3838,Hoquiam,WA,Circle,9/27/16,21:21,Terça-feira,27,9
3839,St. Louis,MO,Flash,9/27/16,21:00,Terça-feira,27,9
3840,Claremont,CA,Flash,9/27/16,21:00,Terça-feira,27,9
3841,El Monte,CA,Circle,9/27/16,21:00,Terça-feira,27,9
3842,Missoula,MT,Fireball,9/27/16,20:50,Terça-feira,27,9
3843,New Britian,CT,Circle,9/27/16,20:30,Terça-feira,27,9
3844,West pittston,PA,Circle,9/27/16,20:15,Terça-feira,27,9
3845,Beaverton,OR,Disk,9/27/16,19:50,Terça-feira,27,9
3846,Somerville (toward; on Route 287),NJ,Formation,9/27/16,18:30,Terça-feira,27,9
3847,Centennial,CO,Circle,9/27/16,17:15,Terça-feira,27,9
3848,Monterey,CA,Disk,9/27/16,13:10,Terça-feira,27,9
3849,Bernville,PA,Triangle,9/27/16,10:30,Terça-feira,27,9
3850,Navarre,OH,Light,9/27/16,06:50,Terça-feira,27,9
3851,Newport,AR,Light,9/27/16,05:30,Terça-feira,27,9
3852,Moss Point,MS,Light,9/27/16,04:45,Terça-feira,27,9
3853,Palm Beach Gardens,FL,Light,9/27/16,03:00,Terça-feira,27,9
3854,Roseville,CA,Changing,9/27/16,01:42,Terça-feira,27,9
3855,Cowiche,WA,Fireball,9/27/16,01:00,Terça-feira,27,9
3856,Palm Beach Garden (near),FL,Light,9/26/16,00:00,Segunda-feira,26,9
3857,Orange Park,FL,Triangle,9/26/16,23:59,Segunda-feira,26,9
3858,Dallas,TX,Light,9/26/16,21:50,Segunda-feira,26,9
3859,Savannah,GA,Fireball,9/26/16,21:20,Segunda-feira,26,9
3860,Napoleonville,LA,Triangle,9/26/16,20:00,Segunda-feira,26,9
3861,Goleta,CA,Other,9/26/16,19:35,Segunda-feira,26,9
3862,Walkertown,NC,Rectangle,9/26/16,17:40,Segunda-feira,26,9
3863,Apple Valley,UT,Changing,9/26/16,16:00,Segunda-feira,26,9
3864,Oakdale,CA,Other,9/26/16,15:30,Segunda-feira,26,9
3865,Rothschild,WI,Triangle,9/26/16,14:00,Segunda-feira,26,9
3866,Sacramento,CA,Oval,9/26/16,11:35,Segunda-feira,26,9
3867,Hollywood,FL,Circle,9/26/16,07:30,Segunda-feira,26,9
3868,Coachella,CA,Circle,9/26/16,05:20,Segunda-feira,26,9
3869,Long Beach,CA,Light,9/26/16,05:00,Segunda-feira,26,9
3870,Aurora,CO,Cigar,9/26/16,04:08,Segunda-feira,26,9
3871,Pulaski,WI,Circle,9/26/16,03:30,Segunda-feira,26,9
3872,Port Orchard,WA,Triangle,9/26/16,03:00,Segunda-feira,26,9
3873,Bellingham,WA,Circle,9/25/16,00:00,Domingo,25,9
3874,El Mirage,AZ,Circle,9/25/16,23:46,Domingo,25,9
3875,Naugatuck,CT,Light,9/25/16,23:00,Domingo,25,9
3876,San Jose,CA,Rectangle,9/25/16,22:15,Domingo,25,9
3877,Reston,VA,Circle,9/25/16,21:30,Domingo,25,9
3878,Sacramento,CA,Light,9/25/16,21:30,Domingo,25,9
3879,Wetumpka,AL,Light,9/25/16,20:30,Domingo,25,9
3880,Northglenn,CO,Triangle,9/25/16,20:19,Domingo,25,9
3881,Eugene,OR,Triangle,9/25/16,20:15,Domingo,25,9
3882,Bellingham,WA,Circle,9/25/16,20:00,Domingo,25,9
3883,Roseville,CA,Formation,9/25/16,19:47,Domingo,25,9
3884,Cranford,NJ,Sphere,9/25/16,17:15,Domingo,25,9
3885,Wilmington,DE,Circle,9/25/16,15:49,Domingo,25,9
3886,East Brunswick,NJ,Oval,9/25/16,14:00,Domingo,25,9
3887,Brandywine,MD,Triangle,9/25/16,12:00,Domingo,25,9
3888,Dayton,TX,Triangle,9/25/16,00:09,Domingo,25,9
3889,Montville,OH,Flash,9/24/16,23:50,Sábado,24,9
3890,Stering Heights,MI,Formation,9/24/16,23:30,Sábado,24,9
3891,White Plains,NY,Circle,9/24/16,23:20,Sábado,24,9
3892,Fenton,MI,Triangle,9/24/16,23:00,Sábado,24,9
3893,Cincinnati,OH,Oval,9/24/16,22:45,Sábado,24,9
3894,Long Beach,CA,Formation,9/24/16,22:15,Sábado,24,9
3895,Akron,OH,Formation,9/24/16,22:00,Sábado,24,9
3896,Rutland,MA,Circle,9/24/16,22:00,Sábado,24,9
3897,Hamilton,NJ,Formation,9/24/16,21:30,Sábado,24,9
3898,Niagara Falls,NY,Fireball,9/24/16,21:30,Sábado,24,9
3899,Denver,CO,Triangle,9/24/16,21:28,Sábado,24,9
3900,Cumberland Center,ME,Other,9/24/16,21:17,Sábado,24,9
3901,Lancaster,PA,Circle,9/24/16,21:00,Sábado,24,9
3902,Macungie,PA,Light,9/24/16,21:00,Sábado,24,9
3903,Garden City,SC,Other,9/24/16,20:45,Sábado,24,9
3904,Tigard,OR,Light,9/24/16,20:45,Sábado,24,9
3905,Buffalo,NY,Light,9/24/16,20:15,Sábado,24,9
3906,Fairmont,WV,Circle,9/24/16,20:05,Sábado,24,9
3907,Gray Summit,MO,Light,9/24/16,20:00,Sábado,24,9
3908,Redding,CA,Rectangle,9/24/16,19:39,Sábado,24,9
3909,Oakland,CA,Triangle,9/24/16,19:30,Sábado,24,9
3910,Philadelphia,PA,Light,9/24/16,19:30,Sábado,24,9
3911,South Burlington,VT,Oval,9/24/16,18:15,Sábado,24,9
3912,Fountain Valley,CA,Triangle,9/24/16,08:00,Sábado,24,9
3913,Silverlake,CA,Cigar,9/24/16,07:30,Sábado,24,9
3914,Alice,TX,Light,9/24/16,04:00,Sábado,24,9
3915,Syracuse to Phoenix,NY,Light,9/24/16,03:00,Sábado,24,9
3916,Melbourne Beach,FL,Other,9/24/16,01:00,Sábado,24,9
3917,Cleveland,OH,Fireball,9/24/16,00:00,Sábado,24,9
3918,Lilburn,GA,Fireball,9/23/16,22:00,Sexta-feira,23,9
3919,Indianapolis,IN,Light,9/23/16,22:00,Sexta-feira,23,9
3920,Sarasota,FL,Changing,9/23/16,22:00,Sexta-feira,23,9
3921,Springfield,VA,Circle,9/23/16,21:40,Sexta-feira,23,9
3922,Bradenton,FL,Triangle,9/23/16,20:45,Sexta-feira,23,9
3923,Virginia Beach,VA,Cigar,9/23/16,20:32,Sexta-feira,23,9
3924,Lansing,MI,Light,9/23/16,20:19,Sexta-feira,23,9
3925,Longmont,CO,Light,9/23/16,19:30,Sexta-feira,23,9
3926,Las Vegas,NV,Oval,9/23/16,17:30,Sexta-feira,23,9
3927,Santa Monica,CA,Formation,9/22/16,22:00,Quinta-Feira,22,9
3928,Austell,GA,Light,9/22/16,21:30,Quinta-Feira,22,9
3929,Glenside,PA,Triangle,9/22/16,21:30,Quinta-Feira,22,9
